CitingEID,Status
2-s2.0-85191761125,success
2-s2.0-85194126453,success
2-s2.0-85208117581,success
2-s2.0-85199188327,success
2-s2.0-85188965492,success
2-s2.0-85191337899,success
2-s2.0-85182939417,success
2-s2.0-85214285984,success
2-s2.0-85202787184,success
2-s2.0-85208148396,success
2-s2.0-85207261606,success
2-s2.0-85202502456,success
2-s2.0-85196304782,success
2-s2.0-85206991702,success
2-s2.0-85192259627,success
2-s2.0-85188800292,success
2-s2.0-85184994480,success
2-s2.0-85183861901,success
2-s2.0-85199861004,success
2-s2.0-85120650753,success
2-s2.0-85067033947,success
2-s2.0-85203682113,success
2-s2.0-85202744167,success
2-s2.0-85188895259,success
2-s2.0-85202182892,success
2-s2.0-85142343445,success
2-s2.0-85162905703,success
2-s2.0-85187326798,success
2-s2.0-85158902418,success
2-s2.0-85141800857,success
2-s2.0-85139298608,success
2-s2.0-85126138854,success
2-s2.0-85116505174,success
2-s2.0-85117539872,success
2-s2.0-85093843665,success
2-s2.0-85091869274,success
2-s2.0-85081547062,success
2-s2.0-85081328988,success
2-s2.0-85063724166,success
2-s2.0-85048692248,success
2-s2.0-85051331973,success
2-s2.0-85042111697,success
2-s2.0-85050877314,success
2-s2.0-85168423176,success
2-s2.0-85145450793,success
2-s2.0-85146067738,success
2-s2.0-85174322186,success
2-s2.0-85142335400,success
2-s2.0-85156105129,success
2-s2.0-85152147971,success
2-s2.0-85149135991,success
2-s2.0-85143630849,success
2-s2.0-85137903203,success
2-s2.0-85135745673,success
2-s2.0-85112684226,success
2-s2.0-85122768235,success
2-s2.0-85064167859,success
2-s2.0-85186462952,success
2-s2.0-85189610439,success
2-s2.0-85102177168,success
2-s2.0-85204885255,success
2-s2.0-85169413716,success
2-s2.0-85141216102,success
2-s2.0-85145450793,success
2-s2.0-85141195671,success
2-s2.0-85137073920,success
2-s2.0-85146659682,success
2-s2.0-85110753705,success
2-s2.0-85123926212,success
2-s2.0-85097293725,success
2-s2.0-85091425441,success
2-s2.0-85095408100,success
2-s2.0-85198985257,success
2-s2.0-85195368334,success
2-s2.0-85194330985,success
2-s2.0-85196264597,success
2-s2.0-85146488335,success
2-s2.0-85145970833,success
2-s2.0-85185874595,success
2-s2.0-85196271491,success
2-s2.0-85168996596,success
2-s2.0-85142931475,success
2-s2.0-85142747553,success
2-s2.0-85137812985,success
2-s2.0-85102943353,success
2-s2.0-85127444522,success
2-s2.0-85076728319,success
2-s2.0-85046251105,success
2-s2.0-85089127619,success
2-s2.0-85082770927,success
2-s2.0-85077240966,success
2-s2.0-85091679433,success
2-s2.0-85091653041,success
2-s2.0-85091631329,success
2-s2.0-85095459348,success
2-s2.0-85095458985,success
2-s2.0-85095426340,success
2-s2.0-85144818884,success
2-s2.0-85128938345,success
2-s2.0-85214464975,success
2-s2.0-85213966416,success
2-s2.0-85209888088,success
2-s2.0-85200569694,success
2-s2.0-85209781457,success
2-s2.0-85186569132,success
2-s2.0-85183752595,success
2-s2.0-85182197840,success
2-s2.0-85193614790,success
2-s2.0-85206662900,success
2-s2.0-85136994853,success
2-s2.0-85133522142,success
2-s2.0-85214307362,success
2-s2.0-85214254349,success
2-s2.0-85210635547,success
2-s2.0-85210829488,success
2-s2.0-85203546741,success
2-s2.0-85199564912,success
2-s2.0-85199264949,success
2-s2.0-85203388273,success
2-s2.0-85193636873,success
2-s2.0-85190544108,success
2-s2.0-85192550825,success
2-s2.0-85192498810,success
2-s2.0-85182197840,success
2-s2.0-85189674337,success
2-s2.0-85191334222,success
2-s2.0-85173612007,success
2-s2.0-85041203318,success
2-s2.0-84985011701,success
2-s2.0-85173266533,success
2-s2.0-85173266533,success
2-s2.0-85183682741,success
2-s2.0-85146658634,success
2-s2.0-85112741437,success
2-s2.0-85056189096,success
2-s2.0-85072882281,success
2-s2.0-85042613653,success
2-s2.0-85027561589,success
2-s2.0-84993984946,success
2-s2.0-84959422957,success
2-s2.0-84950247397,success
2-s2.0-85137910137,success
2-s2.0-85190785757,success
2-s2.0-85182816437,success
2-s2.0-85186217054,success
2-s2.0-85185827481,success
2-s2.0-85213555634,success
2-s2.0-85214945212,success
2-s2.0-85211158634,success
2-s2.0-85212402740,success
2-s2.0-85209080129,success
2-s2.0-85203409744,success
2-s2.0-85212401920,success
2-s2.0-85205286989,success
2-s2.0-85204081269,success
2-s2.0-85208675130,success
2-s2.0-85201074810,success
2-s2.0-85204246950,success
2-s2.0-85197546002,success
2-s2.0-85196410069,success
2-s2.0-85203457787,success
2-s2.0-85195801949,success
2-s2.0-85181542200,success
2-s2.0-85185252685,success
2-s2.0-85185669150,success
2-s2.0-85174144948,success
2-s2.0-85212847563,success
2-s2.0-85204441696,success
2-s2.0-85182497111,success
2-s2.0-85130591840,success
2-s2.0-85171138565,success
2-s2.0-85164693680,success
2-s2.0-85172931277,success
2-s2.0-85161010800,success
2-s2.0-85150854563,success
2-s2.0-85146849313,success
2-s2.0-85146496444,success
2-s2.0-85171200267,success
2-s2.0-85170566743,success
2-s2.0-85137158605,success
2-s2.0-85135387628,success
2-s2.0-85134588352,success
2-s2.0-85120790405,success
2-s2.0-85188053834,success
2-s2.0-85096308084,success
2-s2.0-85195295888,success
2-s2.0-85195875669,success
2-s2.0-85170384029,success
2-s2.0-85212835084,success
2-s2.0-85134233398,success
2-s2.0-85108792801,success
2-s2.0-85209080129,success
2-s2.0-85023643830,success
2-s2.0-85212402740,success
2-s2.0-85200926127,success
2-s2.0-85143795912,success
2-s2.0-85204779390,success
2-s2.0-85212402740,success
2-s2.0-85196781704,success
2-s2.0-85208987669,success
2-s2.0-85209117713,success
2-s2.0-85206208360,success
2-s2.0-85195801949,success
2-s2.0-85181542200,success
2-s2.0-85138409255,success
2-s2.0-85199675898,success
2-s2.0-85199670780,success
2-s2.0-85189493702,success
2-s2.0-84920202330,success
2-s2.0-85194537298,success
2-s2.0-85183884644,success
2-s2.0-85166020309,success
2-s2.0-85163777018,success
2-s2.0-85141860186,success
2-s2.0-85182187621,success
2-s2.0-85203326872,success
2-s2.0-85191574796,success
2-s2.0-85213377858,success
2-s2.0-85170829162,success
2-s2.0-85144786438,success
2-s2.0-85172383384,success
2-s2.0-85164914269,success
2-s2.0-85150263435,success
2-s2.0-85213247053,success
2-s2.0-85214405411,success
2-s2.0-85203545523,success
2-s2.0-85192719648,success
2-s2.0-85200466530,success
2-s2.0-85188645228,success
2-s2.0-85188906774,success
2-s2.0-85189091599,success
2-s2.0-85187954789,success
2-s2.0-85208434124,success
2-s2.0-85186127689,success
2-s2.0-85189287389,success
2-s2.0-85184066222,success
2-s2.0-85182504744,success
2-s2.0-85204151459,success
2-s2.0-85202866481,success
2-s2.0-85199806188,success
2-s2.0-85190658429,success
2-s2.0-85170537683,success
2-s2.0-85166483456,success
2-s2.0-85172113785,success
2-s2.0-85153723884,success
2-s2.0-85171301533,success
2-s2.0-85189318451,success
2-s2.0-85186518352,success
2-s2.0-85175198503,success
2-s2.0-85175184393,success
2-s2.0-85175154250,success
2-s2.0-85170829647,success
2-s2.0-85169030676,success
2-s2.0-85163199206,success
2-s2.0-85136625262,success
2-s2.0-85133399175,success
2-s2.0-85191455736,success
2-s2.0-85151046921,success
2-s2.0-85204157000,success
2-s2.0-85165608301,success
2-s2.0-85166216677,success
2-s2.0-85208024758,success
2-s2.0-85126989739,success
2-s2.0-85214255194,success
2-s2.0-85210863458,success
2-s2.0-85206250909,success
2-s2.0-85197779458,success
2-s2.0-85186481700,success
2-s2.0-85120535175,success
2-s2.0-85125474060,success
2-s2.0-85177526024,success
2-s2.0-85080037411,success
2-s2.0-85209773643,success
2-s2.0-85205402805,success
2-s2.0-85197195088,success
2-s2.0-85185711872,success
2-s2.0-85190108602,success
2-s2.0-85184857333,success
2-s2.0-85180691272,success
2-s2.0-85212229309,success
2-s2.0-85210764498,success
2-s2.0-85145310678,success
2-s2.0-85198705235,success
2-s2.0-85188125874,success
2-s2.0-85181939936,success
2-s2.0-85130811681,success
2-s2.0-85170347535,success
2-s2.0-85197142578,success
2-s2.0-85182842860,success
2-s2.0-85210829488,success
2-s2.0-85209878850,success
2-s2.0-85199564912,success
2-s2.0-85207688349,success
2-s2.0-85207231315,success
2-s2.0-85197621055,success
2-s2.0-85184779316,success
2-s2.0-85211969599,success
2-s2.0-85206569089,success
2-s2.0-85200128428,success
2-s2.0-85193201570,success
2-s2.0-85177428974,success
2-s2.0-85148350325,success
2-s2.0-85179554629,success
2-s2.0-85175622141,success
2-s2.0-85175189073,success
2-s2.0-85162886711,success
2-s2.0-85159256513,success
2-s2.0-85149776235,success
2-s2.0-85143807780,success
2-s2.0-85180815008,success
2-s2.0-85153408903,success
2-s2.0-85101676452,success
2-s2.0-85160212107,success
2-s2.0-85213393616,success
2-s2.0-85212410698,success
2-s2.0-85207092242,success
2-s2.0-85145968178,success
2-s2.0-85174279140,success
2-s2.0-85145783009,success
2-s2.0-85145769521,success
2-s2.0-85121459752,success
2-s2.0-85209212214,success
2-s2.0-85171133710,success
2-s2.0-85110225135,success
2-s2.0-85082657030,success
2-s2.0-85071757626,success
2-s2.0-85150597100,success
2-s2.0-85153110853,success
2-s2.0-85161847445,success
2-s2.0-85089152210,success
2-s2.0-85204390137,success
2-s2.0-85210320400,success
2-s2.0-85210168569,success
2-s2.0-85208597790,success
2-s2.0-85198841087,success
2-s2.0-85204055952,success
2-s2.0-85180220720,success
2-s2.0-85191692193,success
2-s2.0-85176601787,success
2-s2.0-85191975295,success
2-s2.0-85211352481,success
2-s2.0-85208256067,success
2-s2.0-85198299968,success
2-s2.0-85195777609,success
2-s2.0-85161935983,success
2-s2.0-85165227080,success
2-s2.0-85166559598,success
2-s2.0-85160399630,success
2-s2.0-85162914455,success
2-s2.0-85115682210,success
2-s2.0-85142794541,success
2-s2.0-85139451559,success
2-s2.0-85185873789,success
2-s2.0-85180434514,success
2-s2.0-85167730126,success
2-s2.0-85166663544,success
2-s2.0-85166473108,success
2-s2.0-85161425156,success
2-s2.0-85151052632,success
2-s2.0-85149935544,success
2-s2.0-85149029057,success
2-s2.0-85149027276,success
2-s2.0-85148444471,success
2-s2.0-85151147092,success
2-s2.0-85142791471,success
2-s2.0-85138132953,success
2-s2.0-85182925687,success
2-s2.0-85151729886,success
2-s2.0-85150395198,success
2-s2.0-85147712390,success
2-s2.0-85146678798,success
2-s2.0-85128345052,success
2-s2.0-85174657902,success
2-s2.0-85160577932,success
2-s2.0-85113254850,success
2-s2.0-85211078178,success
2-s2.0-85211323528,success
2-s2.0-85210869840,success
2-s2.0-85208248612,success
2-s2.0-85201912504,success
2-s2.0-85213702909,success
2-s2.0-85213434413,success
2-s2.0-85209926739,success
2-s2.0-85207290723,success
2-s2.0-85205475112,success
2-s2.0-85203823242,success
2-s2.0-85203401622,success
2-s2.0-85201046689,success
2-s2.0-85196958615,success
2-s2.0-85194887976,success
2-s2.0-85185877283,success
2-s2.0-85181588236,success
2-s2.0-85180754222,success
2-s2.0-85214468161,success
2-s2.0-85192471419,success
2-s2.0-85191066064,success
2-s2.0-85103741996,success
2-s2.0-85160332107,success
2-s2.0-85119425821,success
2-s2.0-85091609661,success
2-s2.0-85140752216,success
2-s2.0-85187406872,success
2-s2.0-85076865354,success
2-s2.0-85073322332,success
2-s2.0-85195616965,success
2-s2.0-85204396750,success
2-s2.0-85167965918,success
2-s2.0-85159871951,success
2-s2.0-85174395382,success
2-s2.0-85138090078,success
2-s2.0-85095762066,success
2-s2.0-85112666770,success
2-s2.0-85112543094,success
2-s2.0-85111098601,success
2-s2.0-85107508335,success
2-s2.0-85100600512,success
2-s2.0-85100572886,success
2-s2.0-85098823882,success
2-s2.0-85100880029,success
2-s2.0-85098800848,success
2-s2.0-85086726058,success
2-s2.0-85091340340,success
2-s2.0-85088273792,success
2-s2.0-85088168779,success
2-s2.0-85078585592,success
2-s2.0-85086590557,success
2-s2.0-85086572817,success
2-s2.0-85092638809,success
2-s2.0-85097346661,success
2-s2.0-85083996761,success
2-s2.0-85083984573,success
2-s2.0-85083984281,success
2-s2.0-85083967231,success
2-s2.0-85078952313,success
2-s2.0-85073244550,success
2-s2.0-85077714127,success
2-s2.0-85074914183,success
2-s2.0-85104979727,success
2-s2.0-85103233828,success
2-s2.0-85101187303,success
2-s2.0-85097342219,success
2-s2.0-85094106897,success
2-s2.0-85087329179,success
2-s2.0-85074459402,success
2-s2.0-85078882600,success
2-s2.0-85078279896,success
2-s2.0-85074923849,success
2-s2.0-85088277210,success
2-s2.0-85108869574,success
2-s2.0-85189081194,success
2-s2.0-85212225558,success
2-s2.0-85161290421,success
2-s2.0-85143497706,success
2-s2.0-85134977855,success
2-s2.0-85118506887,success
2-s2.0-85143587365,success
2-s2.0-85204972353,success
2-s2.0-85147603619,success
2-s2.0-85195324498,success
2-s2.0-85131459414,success
2-s2.0-85198093307,success
2-s2.0-85189296363,success
2-s2.0-85214570845,success
2-s2.0-85214786921,success
2-s2.0-85213871466,success
2-s2.0-85214307362,success
2-s2.0-85209401312,success
2-s2.0-85214254349,success
2-s2.0-85210635547,success
2-s2.0-85210000777,success
2-s2.0-85211437586,success
2-s2.0-85210292216,success
2-s2.0-85210041602,success
2-s2.0-85209581081,success
2-s2.0-85206612626,success
2-s2.0-85212963295,success
2-s2.0-85210855841,success
2-s2.0-85210003619,success
2-s2.0-85209878850,success
2-s2.0-85209738957,success
2-s2.0-85209181732,success
2-s2.0-85208058770,success
2-s2.0-85206165324,success
2-s2.0-85200898725,success
2-s2.0-85200569694,success
2-s2.0-85199264949,success
2-s2.0-85202556652,success
2-s2.0-85200519655,success
2-s2.0-85207688349,success
2-s2.0-85207231315,success
2-s2.0-85204395817,success
2-s2.0-85203388273,success
2-s2.0-85201301611,success
2-s2.0-85192149054,success
2-s2.0-85191802276,success
2-s2.0-85190952736,success
2-s2.0-85199671297,success
2-s2.0-85190326389,success
2-s2.0-85188539623,success
2-s2.0-85184779316,success
2-s2.0-85207823898,success
2-s2.0-85207431449,success
2-s2.0-85207399392,success
2-s2.0-85200676992,success
2-s2.0-85192550825,success
2-s2.0-85190730024,success
2-s2.0-85190090933,success
2-s2.0-85182939352,success
2-s2.0-85182358038,success
2-s2.0-85182197840,success
2-s2.0-85186141939,success
2-s2.0-85176966276,success
2-s2.0-85211136211,success
2-s2.0-85163587334,success
2-s2.0-85189673940,success
2-s2.0-85190846312,success
